proj_name,project_category,project_url,project_date,thumbnail_img,banner_img,tech_stack,project_description,,,,,,,,
Text-Driven Dynamic Virtual Backgrounds for Video Calls,ML / CV,Text-driven-Virtual-Background,Oct 2023 - Dec 2023,assets/deep-image-colorization.png,assets/deep-image-colorization.png,Python | Pytorch,,,,,,,,,
Advanced Spoiler Detection on Large-Scale Text Reviews,ML / NLP,Advanced-Spoiler-Detection,Oct 2022 - Dec 2022,assets/deep-image-colorization.png,assets/deep-image-colorization.png,Python | scikit-learn,,,,,,,,,
Generative Deep Learning using Transformers and GANs,ML / CV,Generative-Deep-Learning,Nov 2022 - Jul 2023,assets/deep-image-colorization.png,assets/deep-image-colorization.png,Python | Tensorflow,,,,,,,,,
Bounding Box for Object Detection,ML / CV,Bounding-Box,May 2023 - Nov 2023,assets/deep-image-colorization.png,assets/deep-image-colorization.png,Python | Pytorch,,,,,,,,,,
Instance Segmentation for Object Recognition,ML / CV,Instance-Segmentation,May 2023 - Oct 2023,assets/deep-image-colorization.png,assets/deep-image-colorization.png,Python | Tensorflow,,,,,,,,,
Deep Image Colorization using Transfer Learning,ML / CV,deep-image-colorization,Dec 21,assets/deep-image-colorization.png,assets/deep-image-colorization.png,Python | PyTorch,,,,,,,,,
Obstacle Avoidance Trajectory Planner and Controller for Quadrotor,Robotics,advanced_robotics_1,May 22,assets/waypoints.png,assets/waypoints.png,Python,,,,,,,,,
YOLO (You Look Only Once),ML / CV,YOLO,Dec 22,assets/yolo_main.png,assets/yolo_pred.png,Python | PyTorch,,,,,,,,,
Extended Kalman Filter Based Visual Monocular Slam,State Estimation and Localization,Extended-Kalman-Filter-Based-Visual-Monocular-Slam,May 22,assets/EKF.png,assets/EKF_main.png,Python | C++,,,,,,,,,
Unscented Kalman Filter for Orientation Tracking,State Estimation and Localization,UKF,May 22,assets/ukf_main.png,assests/ufk_main.png,Python,,,,,,,,,
Faster-RCNN,ML / CV,Faster-RCNN,Dec 22,assets/faster_rcnn_main.png,assets/faster_rcnn.png,Python | PyTorch,,,,,,,,,
Multi-View Stereo Reconstruction,ML / CV,Multi-view-stereo-reconstruction,May 22,assets/recons_main.png,assets/recons_main.png,Python,,,,,,,,,
SOLO,ML / CV,SOLO,Dec 22,assets/solo_main.png,assets/solo.png,Python | PyTorch,,,,,,,,,
Homography Estimation,ML / CV,homography-estimation,Oct 21,assets/stitch.png,assets/stitch.png,Python,,,,,,,,,
Image Morphing,ML / CV,image-morphing,Oct 21,assets/output.gif,assets/output.gif,Python,,,,,,,,,
Poisson Image Blending,ML / CV,poisson-image-blending,Nov 21,assets/poisson_img.png,assets/poisson_img.png,Python ,,,,,,,,,
Animatronic Hand using Wireless Module,Robotics,animatronic-hand,Nov 21,assets/animatronic-hand.png,assets/animatronic-hand.png,"Arduino, C",,,,,,,,,